,txt,label
0,"Another RSS worker injured in Firozabad shooting, police suspect personal rivalry",0
1,Pay fine for invasive test without patient’s nod: Consumer panel to hospital,0
2,"Land compensation due for three decades, court attaches Gujarat govt’s cars, furniture",0
3,"Black comedy on low-cost, life-saving Indian drugs is a surprise hit in China",0
4,"38 FIRs against him for fraud, travel agent arrested from Patiala",0
5,"In the ordinary, I find a diminished epic: Sumana Roy",0
6,My life as a writer has been an investigation of the past: Vikram Chandra,0
7,"Congress leaders out on bail, people are calling party bail-gaadi: PM Modi",0
8,"J&K: 16-year-old girl among three killed in Valley firing, police to probe",0
9,Uttar Pradesh: Two shot in Barabanki ‘encounter’,0
10,"Punjab Haryana HC upholds man’s conviction for rape of 16-year-old  girl, trashes ‘consent’ angle",0
11,"JEE (Main), NEET to be held twice a year, over multiple days, says HRD Minister Prakash Javadekar",0
12,"After feting Jharkhand men convicted of lynching, Union Minister Jayant Sinha talks of due process",0
13,Unnao custodial death: Case CBI files chargesheet,0
14,Ludhiana: Two senior Congress leaders clash,0
15,Hoax call of bomb threat halts New Delhi-Howrah Rajdhani,0
16,FTII takes action against two students over graffiti,0
17,Hosts Russia disappointed but exit World Cup stage with pride,0
18,Ludhiana: 12-yr-old rape victim’s daughter handed over to orphanage,0
19,Former Express journalist dies at 94,0
20,NMIAL achieves financial milestone for airport first phase,0
21,Croatia’s Luka Modric chasing World Cup dream after shootout win,0
22,Hindutva leader ‘attacked’ own vehicle in Chennai for security: police,0
23,Told Captain about two villages notorious for drug peddling: Congress MLA Laddi,0
24,"Pune: 83 Class IX students ‘failed’ by Pune school, parents furious",0
25,"Order CBI probe in police-drug mafia nexus, send DGP on leave: Khaira to Punjab CM",0
26,Man acquitted of murder for second time on ground of unsound mind,0
27,Juhu drowning: Body of fourth boy found after 36 hours,0
28,Sherwood student from Punjab dies in ‘accidental firing’,0
29,Punjab: 24 year-old drug addict dies during treatment at hospital,0
30,"Prajapati ‘fake’ encounter case: Two more witnesses declared hostile, count rises to 85",0
31,"One dead, 20 rescued from waterfall near Mumbai as water level rises",0
32,Lalbaug: Congestion on flyover as tempo turns turtle,0
33,Punjab: Doctors warn of epidemic if drug addicts start sharing syringes due to shortage,0
34,"Mumbai: Crackdown on bill defaulters, 9 lakh consumers may lose power connections",0
35,Common Cause: Film enthusiasts come together to  make short films using smartphones,0
